"","codmpio","Municipio","Depto","subregion","CTEP","nbi","iga_total","desemp_fisc","GAI","conflict_index","acciones_belicas","secuestro","ataques","ase_desap","coca","mineria_ilegal","pob_censo2018_2023","pob_rural_censo2018_2023","part_senado_urbano","part_camara_urbano","part_senado_rural","part_camara_rural","secciones_rurales","RAP"
"38",25123,"Cachipay","Cundinamarca","Altiplano Cundiboyacense",0,25.9902019500732,66.9457179732202,62.7339406680233,0,-0.971554159598996,0,1,0,7,0,0,8821,5126,42.2310263711774,42.1815030333044,41.8103448275862,41.8103448275862,2,"RAP (E) Central"
"39",52022,"Aldana","Nariño","Sur De Nariño",0,46.5149269104004,68.2845754968115,60.0647206934278,1,-0.968796381348738,0,2,0,10,0,0,5605,4416,58.005082592122,58.005082592122,60.2875112309075,60.2875112309075,1,"RAP Pacífico"
"40",25530,"Paratebueno","Cundinamarca","Piedemonte Llanero",0,51.7633285522461,63.475962407271,67.2474801637152,0,0.189876817503815,4,12,0,141,0,0,6669,3440,49.3252067914671,49.2816717457553,49.4331983805668,49.3522267206478,2,"RAP (E) Central"
"41",15522,"Panqueba","Boyacá","Altiplano Cundiboyacense",0,47.185173034668,43.2111894995769,54.2404832274285,0,-0.870746161950738,0,1,0,2,0,0,1250,593,47.8260869565217,47.8260869565217,0,0,2,"RAP (E) Central"
"42",76020,"Alcalá","Valle del Cauca","Norte Del Valle",0,30.6276836395264,72.1921832797779,58.9597711356528,1,-1.04996913813478,0,1,0,39,0,0,10462,2804,48.5703245749614,48.5510046367852,42.9553264604811,42.9553264604811,3,"RAP Pacífico"
"43",25126,"Cajicá","Cundinamarca","Altiplano Cundiboyacense",0,19.9376678466797,77.5809321129802,80.3253511731276,1,-1.00854992649202,0,2,0,6,0,0,75598,20257,56.2929543223152,56.274253120763,0,0,3,"RAP (E) Central"
"44",15664,"San José de Pare","Boyacá","Altiplano Cundiboyacense",0,38.0698509216309,55.6119246543582,59.1866474535815,0,-0.963039844693205,2,0,0,2,0,0,3797,2933,47.4509803921569,47.4074074074074,56.4950980392157,56.4950980392157,1,"RAP (E) Central"
"45",73026,"Alvarado","Tolima","Norte Del Tolima",0,48.670036315918,58.9107848452863,64.6697775264362,0,-0.710718164479613,7,11,0,35,0,0,6445,3856,43.7267311988086,43.801191362621,51.6331658291457,51.6645728643216,2,"RAP (E) Central"
"46",25148,"Caparrapí","Cundinamarca","Noroccidente De Cundinamarca",0,54.3306427001953,50.2740844466665,55.6401820336786,0,-0.23410523048682,25,12,0,156,0,0,10792,7392,41.0348977135981,41.0348977135981,43.7971952535059,44.2286947141316,2,"RAP (E) Central"
"47",15131,"Caldas","Boyacá","Altiplano Cundiboyacense",0,37.1170387268066,62.6762471591731,59.633975299273,0,-0.945321952807561,0,0,0,4,0,0,2333,2063,38.2177308222324,38.2177308222324,49.9099099099099,50,1,"RAP (E) Central"
"48",25151,"Cáqueza","Cundinamarca","Altiplano Cundiboyacense",0,31.4917793273926,64.0309295355267,64.928738479757,0,-0.794319371453842,7,14,0,15,0,0,14310,6859,47.0036549203503,47.0036549203503,0,0,2,"RAP (E) Central"
"49",44420,"La Jagua del Pilar","La Guajira","Serrania Del Perija",0,62.5621566772461,58.1822803910186,56.5927738142991,1,1.87910492804367,30,29,0,77,0,0,2595,875,65.1235444476001,65.2655495597841,66.728624535316,67.2862453531599,1,"RAP Caribe"
"50",85010,"Aguazul","Casanare","Piedemonte Llanero",0,33.5044631958008,66.1353595846068,73.8101737909714,8,1.25550155470382,92,166,0,661,0,0,26994,6900,61.1336710344539,61.1462301670365,68.5267857142857,68.5546875,4,"RAP Llanos"
"51",68077,"Barbosa","Santander","Provincia De Velez",0,22.8152236938477,63.3277996925436,68.6112883774538,0,-0.689136002676008,13,25,0,111,0,0,24482,5767,45.8493353028065,45.7775902089048,57.3757131214344,57.3757131214344,2,"RAP Gran Santander"
"52",68079,"Barichara","Santander","Provincia De Guanenta",0,37.2242851257324,59.6055297537316,64.2727674493857,0,-1.03113280343575,0,3,0,8,0,0,8271,5380,53.6815997519764,53.6350953340567,0,0,3,"RAP Gran Santander"
"53",15897,"Zetaquira","Boyacá","Altiplano Cundiboyacense",0,41.33251953125,56.8006822402251,67.0925040164744,0,-0.731199531980307,2,6,0,8,0,0,3411,2412,52.1862139917695,52.0833333333333,0,0,1,"RAP (E) Central"
"54",15022,"Almeida","Boyacá","Altiplano Cundiboyacense",0,36.8267936706543,60.8885324527473,59.9817984525535,0,-0.0597570196740625,0,2,0,35,0,0,1471,1183,44.1801619433198,44.1295546558704,0,0,2,"RAP (E) Central"
"55",68081,"Barrancabermeja","Santander","Magdalena Medio",0,24.9368915557861,67.1308206455695,78.1125157404391,21,2.93667446754932,338,209,0,4641,0,0,153535,17420,48.5451474834983,48.5077609323432,49.8458238369755,49.8257139026679,7,"RAP Gran Santander"
"56",25175,"Chía","Cundinamarca","Altiplano Cundiboyacense",0,10.8175640106201,76.6822683121248,79.8083371387226,0,-0.986623239800944,1,9,0,27,0,0,126231,17964,55.8330396826299,55.8205358462255,0,0,4,"RAP (E) Central"
"57",25178,"Chipaque","Cundinamarca","Altiplano Cundiboyacense",0,37.8577842712402,69.9782639643309,69.5274692023808,0,-0.554689668870989,12,10,0,32,0,0,7917,4994,45.5732946298984,45.5732946298984,0,0,2,"RAP (E) Central"
"58",25181,"Choachí","Cundinamarca","Altiplano Cundiboyacense",0,26.4888820648193,67.6877087872787,67.3033624333065,0,-0.707440769272708,13,14,0,5,0,0,9481,5113,46.4356156663849,46.5013618859773,48.1865284974093,48.1865284974093,2,"RAP (E) Central"
"59",27006,"Acandí","Chocó","Uraba",1,57.9142379760742,53.1719282242717,53.0334566023042,12,0.916044893470217,15,32,1,244,1.29,51.64,9438,5474,44.6046915725456,44.6046915725456,42.341395022783,42.3764458464774,3,"RAP Pacífico"
"60",50110,"Barranca de Upía","Meta","Piedemonte Llanero",0,51.906364440918,62.1737886003857,66.0739185226144,0,0.231940780419077,2,2,0,85,0,0,4293,1229,47.1538652746706,47.1538652746706,59.2156862745098,59.2156862745098,3,"RAP (E) Central"
"61",50150,"Castilla la Nueva","Meta","Piedemonte Llanero",0,32.0840911865234,87.409665504342,77.7253406164693,0,-0.472642221824441,6,6,0,64,0,0,11039,6503,67.1369102682701,67.1253469010176,64.1631719405261,64.1250476553565,2,"RAP (E) Central"
"62",15135,"Campohermoso","Boyacá","Oriente De Boyaca",0,45.1569709777832,57.931303800669,67.7215897186883,0,0.112262936296134,7,10,4,26,0,0,2165,1503,41.1871592973955,41.1265899454876,45.1539338654504,45.1539338654504,1,"RAP (E) Central"
